request_id,success,response_time,network_time,processing_time,verdict,confidence,prompt_length,error,timestamp
0,True,0.3335855007171631,0.3335072994232178,7.82012939453125e-05,benign,0.9959164261817932,30,,1754348345.9456737
1,True,0.3585784435272217,0.3578622341156006,0.0007162094116210938,jailbreak,0.9987353682518005,54,,1754348345.945926
2,True,0.3312716484069824,0.3289484977722168,0.002323150634765625,jailbreak,0.9021874070167542,54,,1754348345.9460518
3,True,0.32738304138183594,0.32711029052734375,0.0002727508544921875,jailbreak,0.9395888447761536,63,,1754348345.946144
4,True,0.3466458320617676,0.3450460433959961,0.0015997886657714844,benign,0.9925289750099182,30,,1754348345.9468677
5,True,0.2867088317871094,0.2859151363372803,0.0007936954498291016,benign,0.5595214366912842,47,,1754348345.9481266
6,True,0.3319523334503174,0.331897497177124,5.4836273193359375e-05,benign,0.995914876461029,34,,1754348345.949381
7,True,0.35861992835998535,0.3585653305053711,5.459785461425781e-05,benign,0.9957809448242188,29,,1754348345.9506283
8,True,0.35839080810546875,0.35808587074279785,0.00030493736267089844,benign,0.9954925775527954,28,,1754348345.9518657
9,True,0.38585782051086426,0.3858177661895752,4.00543212890625e-05,benign,0.9586746096611023,42,,1754348345.9519677
10,True,0.3550713062286377,0.3541085720062256,0.0009627342224121094,jailbreak,0.9987295269966125,50,,1754348345.9532769
11,True,0.3634645938873291,0.36206674575805664,0.001397848129272461,benign,0.9934432506561279,30,,1754348345.9545355
12,True,0.35935258865356445,0.3590736389160156,0.0002789497375488281,jailbreak,0.9988420605659485,48,,1754348345.9557862
13,True,0.39847302436828613,0.39762163162231445,0.0008513927459716797,benign,0.9925289750099182,30,,1754348345.9559178
14,True,0.38944029808044434,0.3865926265716553,0.0028476715087890625,benign,0.9966661334037781,25,,1754348345.9572165
15,True,0.5314643383026123,0.5302793979644775,0.0011849403381347656,benign,0.9934793710708618,27,,1754348345.9585276
16,True,0.6423721313476562,0.6407818794250488,0.0015902519226074219,jailbreak,0.9988420605659485,48,,1754348345.959866
17,True,0.6876358985900879,0.6868672370910645,0.0007686614990234375,benign,0.9922255277633667,20,,1754348345.9599917
18,True,0.7498519420623779,0.7496585845947266,0.0001933574676513672,benign,0.9961088299751282,22,,1754348345.961348
19,True,0.656318187713623,0.6562786102294922,3.9577484130859375e-05,jailbreak,0.9954181909561157,36,,1754348345.9626222
20,True,0.7038540840148926,0.7035095691680908,0.0003445148468017578,benign,0.9950350522994995,12,,1754348345.9638784
21,True,0.6645171642303467,0.6635870933532715,0.0009300708770751953,benign,0.6821380853652954,47,,1754348345.9640243
22,True,0.6958010196685791,0.6929810047149658,0.0028200149536132812,benign,0.9957459568977356,51,,1754348345.9653647
23,True,0.7154345512390137,0.7153942584991455,4.029273986816406e-05,benign,0.9954155683517456,27,,1754348345.965864
24,True,0.6840829849243164,0.6836981773376465,0.0003848075866699219,benign,0.9949910044670105,24,,1754348345.9672008
25,True,0.7625405788421631,0.7624783515930176,6.222724914550781e-05,benign,0.9940289258956909,68,,1754348345.9685302
26,True,0.6695342063903809,0.6673147678375244,0.0022194385528564453,benign,0.9956198334693909,25,,1754348345.9688504
27,True,0.7366878986358643,0.7343730926513672,0.0023148059844970703,benign,0.9950206279754639,22,,1754348345.9701333
28,True,0.7829735279083252,0.7823660373687744,0.0006074905395507812,benign,0.9964492321014404,41,,1754348345.9715192
29,True,0.7476780414581299,0.7476146221160889,6.341934204101562e-05,jailbreak,0.99116450548172,43,,1754348345.9718723
30,True,0.7244632244110107,0.7220892906188965,0.002373933792114258,jailbreak,0.9988420605659485,48,,1754348345.9731479
31,True,0.7424807548522949,0.740687370300293,0.0017933845520019531,benign,0.9957809448242188,29,,1754348345.9745
32,True,0.753058910369873,0.7517704963684082,0.0012884140014648438,benign,0.9938794374465942,21,,1754348345.975839
33,True,0.7497313022613525,0.7496979236602783,3.337860107421875e-05,benign,0.9956169128417969,30,,1754348345.9763122
34,True,0.7440872192382812,0.743718147277832,0.00036907196044921875,benign,0.9935977458953857,20,,1754348345.977906
35,True,0.7691872119903564,0.7678980827331543,0.0012891292572021484,benign,0.9967637062072754,30,,1754348345.9783046
36,True,0.7809627056121826,0.7798285484313965,0.0011341571807861328,jailbreak,0.6805800795555115,57,,1754348345.978983
37,True,0.70670485496521,0.7025394439697266,0.0041654109954833984,benign,0.9918872714042664,15,,1754348345.980618
38,True,0.7530584335327148,0.7527163028717041,0.0003421306610107422,jailbreak,0.9987295269966125,50,,1754348345.9809296
39,True,0.7849678993225098,0.7836406230926514,0.0013272762298583984,benign,0.9966661334037781,25,,1754348345.9823837
40,True,0.7805485725402832,0.7801077365875244,0.00044083595275878906,benign,0.9935977458953857,20,,1754348345.9837654
41,True,0.748582124710083,0.7481820583343506,0.0004000663757324219,benign,0.9965835213661194,35,,1754348345.9839885
42,True,0.7600839138031006,0.7594642639160156,0.0006196498870849609,benign,0.9962443113327026,25,,1754348345.9850845
43,True,0.7787954807281494,0.77834153175354,0.000453948974609375,benign,0.9965835213661194,35,,1754348345.9865465
44,True,0.7490267753601074,0.7482395172119141,0.0007872581481933594,benign,0.994356095790863,31,,1754348345.9868934
45,True,0.7607035636901855,0.7601337432861328,0.0005698204040527344,benign,0.9954155683517456,27,,1754348345.988205
46,True,0.7512860298156738,0.750901460647583,0.0003845691680908203,benign,0.9950350522994995,12,,1754348345.989669
47,True,0.7623805999755859,0.7605752944946289,0.0018053054809570312,benign,0.9954155683517456,27,,1754348345.9900262
